,SEX,SEX_MAP,EMOT,Field1,SIT,model_completion
639,1,male,2.0,fear,After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him.,Embarrassment
640,1,male,3.0,anger,The sight of a man who ran amok (fighting) at a dance.,Fear
641,1,male,4.0,sadness,When out of work.,Anxiety
642,1,male,5.0,disgust,"With my mouth full of bun, I drank directly from a packet of milk which turned out to be weeks old (completely separated).  It took a while for the milk to seep through the bun.",Disgust
643,1,male,7.0,guilt,A boy who shot dead a squirrel.,Sadness
644,2,female,1.0,joy,When I was accepted as supervisor for a student teacher.  The notification came by post.,Pride
645,2,female,2.0,fear,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream.",Fear
646,2,female,3.0,anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted.",Frustration
647,2,female,4.0,sadness,A colleague's 17 year old daughter is seriously ill with cancer and has only a year to live.  I  heard about it 6 weeks ago.,Compassion
648,2,female,1.0,joy,"When a close friend met me at the station in the middle of the night, when I came back from a long and tiring journey.",Relieved
649,2,female,2.0,fear,"Having quarreled with a boyfriend, he threatened to leave me.",Hurt
650,2,female,3.0,anger,Someone didn't show up at a meeting in spite of having agreed to come.,Disappointment
651,2,female,4.0,sadness,"When I understood that my marriage was falling apart, and we decided to be legally separated.",Sadness
652,2,female,5.0,disgust,"At an anti-pornography meeting, when samples from films and magazines were shown.",Disgust
653,2,female,6.0,shame,Comments from other children on my alcoholic father,Embarrassment
654,2,female,7.0,guilt,"Having failed to help with the 5th of March arrangements (Women's Day), although I had previously promised to take part in the work.",Guilt
655,1,male,1.0,joy,"When I was able to buy my new car, after lots of problems.",Relief
656,1,male,2.0,fear,"After my car accident, when I woke up in a heap of stones.",Fear
657,1,male,3.0,anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin.",Frustration
658,1,male,4.0,sadness,When my grandfather died.,Sadness
659,1,male,6.0,shame,"Hit a dog with my car, and didn't stop.",Guilt
660,1,male,7.0,guilt,"Car accident. I let a 16-year old, incompetent parson take the wheel and I feel very guilty about what happened even though I suffered the worst injuries.",Regret
661,1,male,1.0,joy,When I was admitted to a certain school as a student.,Excitement
662,1,male,2.0,fear,My father has a chronic desease. In the autumn of 1983 he had a very strong fit or seizure.,Worry
663,1,male,3.0,anger,"A drunken friend of mine was beating up another friend, who was also drunk.",Fear
664,1,male,4.0,sadness,When I didn't get a certain job at Lillehammer which I wanted very much.,Disappointment
665,1,male,5.0,disgust,My boss on the job failed to keep his promise about something he knew was extremely important to me.,Disappointment
666,1,male,6.0,shame,An exam where questions about very specific knowledge were asked.,Anxiety
667,1,male,7.0,guilt,I hit my little sisiter on the head with a stone while we were fighting.,Guilt
668,1,male,1.0,joy,When my father managed to begin a new life after the divorce from my mother; resulting in a new little sister for me.,Mixed
669,1,male,2.0,fear,"A near-accident in a car, driving too fast on an icy road.",Fear
670,1,male,3.0,anger,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen.",Hurt
671,1,male,4.0,sadness,"Being bored in school, not being able to marry and have children.",Frustration
672,1,male,5.0,disgust,When my mother's new husband treated her and my brothers and sisters badly.,Anger
673,1,male,6.0,shame,Stealing from my mother's purse when I was a little boy.,Guilt
674,1,male,1.0,joy,"I was in hospital, and then was visited by someone quite unexpected.",Surprise
675,1,male,2.0,fear,"I was hunting, and was lost in the fog in the mountains.",Fear
676,1,male,3.0,anger,"I was accused of a misdemeanour, unjustly.",Indignation
677,1,male,4.0,sadness,When my girlfriend left me.,Sadness
678,1,male,5.0,disgust,Slaughtering of animals.,Distress
679,1,male,6.0,shame,"I entered the wrong room, and got into a bed where someone already was sleeping.",Embarrassment
680,1,male,7.0,guilt,I failed to show up at an agreed date.,Embarrassment
681,1,male,1.0,joy,"When I finally managed to get a specific sound from my guitar, after baving tried for a long time.",Accomplishment
682,1,male,2.0,fear,"Climbing a mountain, I got stuck and realized I could get neither up nor down.",Fear
683,1,male,3.0,anger,Meeting generally dominating persons in social occasions.,Intimidation
684,1,male,4.0,sadness,"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so.",Disappointment
685,1,male,5.0,disgust,Can't describe any disgust situation.,Confusion
686,1,male,6.0,shame,When the cast general election resulted in Norway getting a conservative government.,Neutral
687,1,male,7.0,guilt,A friend of mine shot himself through the head after having told me and others that he would do so.,Devastated
688,2,female,1.0,joy,When my children were born.,Joy
689,2,female,2.0,fear,When I almost ran over a small boy who suddenly was in front of my car.,Fear
690,2,female,3.0,anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals.",Worried
691,2,female,4.0,sadness,When I was told that a good friend was seriously ill.,Sadness
692,2,female,5.0,disgust,When I learned that a relative had been spreading rumours about me.,Hurt
693,2,female,6.0,shame,"I was talking badly about a person to some friends, and discovered that his daughter was listening.",Embarrassment
694,2,female,7.0,guilt,"When my ex-husband left our house, and the children cried because he was not coming back.",Sadness
695,2,female,1.0,joy,When my special friend said I love you for the first time.,Joy
696,2,female,2.0,fear,"After having watched a crime show on the TV, I was about to take the dog for a walk. Then, suddenly, there was a man on the porch... (We live some distance away from other people).",Fear
697,2,female,3.0,anger,When my car suddenly broke down !,Frustration
698,2,female,4.0,sadness,When an earlier friend was spreading negative rumours about me.,Hurt
699,2,female,5.0,disgust,"There is a certain person, whom I only have seen. He makes me cringe, feel disgust.",Disgust
700,2,female,6.0,shame,Cheating to get the best grade on a test in 7th grade.,Guilt
701,2,female,7.0,guilt,"A kitten had wandered into our office, and I was told to take it back across the street. When I crossed back, the kitten followed me and was run over and killed by a car.",Sadness
702,2,female,1.0,joy,When my term paper was evaluated.,Anxiety
703,2,female,2.0,fear,"After seeing a terror movie at the cinema, I was so scared that I couldn't even drive the car into the garage. I often thought about the film afterwards, hoping such things couldn't exist in the real world.",Fear
704,2,female,3.0,anger,"Angry with my brother, who was making fun of me, teasing me.",Frustration
705,2,female,4.0,sadness,When my gradmother died.,Sadness
706,2,female,6.0,shame,I overreacted towards my mother and felt ashamed afterwards.,Guilt
707,2,female,7.0,guilt,"When my parents work very hard and get tired - while I go to school and study instead of helping them. I feel that I'm letting them down, disappointing them.",Guilt
708,1,male,1.0,joy,Got in touch with earlier friends after a long absence.,Joy
709,1,male,2.0,fear,I lost my way on a trip in the mountains.,Fear
710,1,male,3.0,anger,"Being subject to unfair treatment in a working group, someone bending the rules was protected by the boss. This resulted in more work for the others.",Frustration
711,1,male,4.0,sadness,The death of a close friend.,Sadness
712,1,male,5.0,disgust,"Was confronted with a person having negative thoughts of other people because of their social status, beliefs, color and outlook on life (perspective).",Disappointment
713,1,male,6.0,shame,"Feeling inadequate in a group situation, being unable to convey my own thoughts and feelings.",Frustration
714,1,male,7.0,guilt,I failed to complete a working task within the agreed time.,Frustration
715,2,female,1.0,joy,Receiving a much wanted letter from a very good friend who lives abroad.,Joy
716,2,female,2.0,fear,"Before getting back the results of a test in school, when I had worked very hard and was worried about not succeeding.",Anxiety
717,2,female,3.0,anger,"One of my best friends accused me of giving up to early on problems. It was only a casual remark on her side, but I was angry and hurt.",Hurt
718,2,female,4.0,sadness,"Realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year.",Nostalgic
719,2,female,5.0,disgust,In a public swimming hall I saw a very aggressive man who practically attacked the children who got in his way when he was swimming.,Fear
720,2,female,6.0,shame,"I was making very strong statements about infidelity in couples. Then I discovered that one of my best friends, who had just been through a very sad case of mutual infidelity, was listening.",Embarrassment
721,2,female,7.0,guilt,"I had planned a trip to the South during Easter, together with a friend. She was very sorry when I changed my mind and decided not to go after all.",Regret
722,2,female,1.0,joy,"A friend which I hadn't seen for years, sent me a small present.",Joy
723,2,female,2.0,fear,"One dark night with no street lights, a car was obviously following me.",Fear
724,2,female,3.0,anger,"I was subject to false accusations, and got very angry.",Anger
725,2,female,4.0,sadness,I was told by a good friend that we couldn't be friends any more because of his relationship with another girl.,Hurt
726,2,female,5.0,disgust,"This is difficult, since I don't remember feeling disgust towards anyone.",Confusion
727,2,female,6.0,shame,"If I don't go to lectures, I often feel ashamed.",Shame
728,2,female,7.0,guilt,I was very angry with a girlfriend for interferring a little too much with my personal affairs. I told her so rather strongly and she started crying.,Regret
729,1,male,1.0,joy,"When my fiancee travelled 2000 Km to visit me, and I hadn't seen her for 4 months.",Joy
730,1,male,2.0,fear,"I was beaten up at a private New Year's party once, through no fault of mine.",Fear
731,1,male,3.0,anger,"I felt unfairly treated at an airport, being told to use a different counter (for domestic traffic only).",Frustration
732,1,male,4.0,sadness,When my grandmother died.,Sadness
733,1,male,5.0,disgust,The murder of two girls on a school trip to Berlin (and sexual crimes generally) a couple of years ago.,Horror
734,1,male,6.0,shame,When taking part in the mobbing of one of my best friends in primary school.,Guilt
735,1,male,7.0,guilt,"When I secretly tried smoking for the first time, being 12 years old.",Guilt
736,2,female,1.0,joy,"When the person that I was very fond of, returned to me.",Joy
737,2,female,2.0,fear,Not applicable to myself.,Neutral
738,2,female,3.0,anger,When students in our working group showed no responsibility or interest in our work.,Frustration
739,2,female,4.0,sadness,A very close friend left me.,Sadness
740,2,female,5.0,disgust,"Some people were unfairly treated, because of their nationality/colour.",Outrage
741,2,female,6.0,shame,Taking part in the mobbing of some girls in my class in primary school.,Guilt
742,2,female,7.0,guilt,Not applicable to myself.,Neutral
743,2,female,1.0,joy,A close acquaintace cried for me. I felt happy because somebody cared.,Touched
744,2,female,2.0,fear,A letter from my boyfriend began in such a way that I thought he was going to end our relationship. I was afraid of reading the rest.,Anxiety
745,2,female,3.0,anger,"My nephew is a deaf and also hyperactive boy. I had been responsible for looking after him for a full day, and was very tired. Then he suddenly grabbed a knife and stabbed me in the leg. I got so angry that I didn't feel any pain.",Anger
746,2,female,4.0,sadness,A woman I know is slowly dying from cancer. Observing this process makes me sad.,Sadness
747,2,female,5.0,disgust,Close friends talking badly of other friends.,Disappointment
748,2,female,6.0,shame,"My father died after two very painful weeks in bed. I felt relieved, and was ashamed of that.",Guilt
749,2,female,7.0,guilt,"We had a day off from school. Instead of helping my mother with her job, I stayed in bed all day.",Guilt
750,2,female,1.0,joy,Renewed contact with an earlier friend.,Joy
751,2,female,2.0,fear,Fearing the use of power or reprimands when I belong to the minority.,Anxiety
752,2,female,3.0,anger,"A close friend first said he accepted an agreement, but later used that agreement as a reason for attacking me.",Betrayed
753,2,female,4.0,sadness,When realizing that my girlfriend and myself in fact had started the process of breaking up.,Sadness
754,2,female,5.0,disgust,"Political and military trnsgressions around the world, generally speaking. This cannot be described through this questionaire.",Concerned
755,2,female,6.0,shame,Was accused of having hidden intentions in a situation when I believed I was acting honestly and fairly.,Hurt
756,2,female,7.0,guilt,"When my aunt took her own life, I felt guity for not understanding that she needed support.",Guilt
757,2,female,1.0,joy,"Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not.",Joy
758,2,female,2.0,fear,Doesn't apply.,Neutral
759,2,female,3.0,anger,"When I tried to breake it up with my boyfriend, and he refused to let me go.",Frustration
760,2,female,4.0,sadness,Having to go back home form the U.S. after having been there for ten weeks to visit my brother and his family.,Sadness
761,2,female,5.0,disgust,Doesn't apply.,Neutral
762,2,female,6.0,shame,Doesn't apply.,Neutral
763,2,female,7.0,guilt,"I dated another boy several times, when I was still going with my former boyfriend. This made me feel a little bit guilty towards my friend.",Guilt
764,1,male,1.0,joy,Finding my glasses again after having lost them in town.,Relief
765,1,male,2.0,fear,Falling off a cliff in the mountains.,Fear
766,1,male,3.0,anger,Having a fight with a class mate.,Anger
767,1,male,4.0,sadness,When the gear broke on my car.,Frustration
768,1,male,5.0,disgust,Can't remember having had this feeling.,Confusion
769,1,male,6.0,shame,Can't remember that feeling.,Confusion
770,1,male,7.0,guilt,I forgot to lock the outside door at my Land Lady's place.,Anxiety
771,2,female,1.0,joy,I got a job right after school was over.,Excitement
772,2,female,2.0,fear,Going home alone through the forest after a girl guide (scout ?) meeting.,Cautious
773,2,female,3.0,anger,I get angry when people disbelieve me or misunderstand me.,Frustration
774,2,female,4.0,sadness,At the death of a close relative.,Grief
775,2,female,5.0,disgust,"Having been unjustly punished, I feel disgust towards the person responsible.",Disgust
776,2,female,6.0,shame,Being caught in changing the truth (lying).,Guilt
777,2,female,7.0,guilt,"Doing something wrong at home, and then letting my (normally) more rampant brother take the blame.",Guilt
778,1,male,1.0,joy,Having passed the exam required to be an authorized Radio/TV dealer.,Pride
779,1,male,2.0,fear,"Climbing a mountain where the rocks were very loose. When we realized the danger, we were very high up, but still had a long climb ahead.",Fear
780,1,male,3.0,anger,"Being a spokesman for the union, I got into a quarrel with a colleague who had been acting disloyally over a sustained period of time.",Frustration
781,1,male,4.0,sadness,"When my grandfather died, with whom I had a very close relationship.",Sadness
782,1,male,5.0,disgust,"Reading about executions and massacres which happened during World War II, I felt disgust towards those who did it.",Disgust
783,1,male,6.0,shame,"I woke up at the house of someone I knew, not remembering very much about what had been said or done during the party on the previous night.",Confused
784,1,male,7.0,guilt,"Borrowing a car, and then having a minor accident (breaking a headlight).",Guilt
785,1,male,1.0,joy,Succeeding in helping others.,Fulfillment
786,1,male,2.0,fear,"When I realized that we are living on borrowed time, and that the nuclear holocaust appears to come closer every day.",Fear
787,1,male,3.0,anger,"When others let me down, fail to keep agreements.",Disappointment
788,1,male,4.0,sadness,Death in the close family.,Grief
789,1,male,5.0,disgust,When people manipulate others through appearing better than what they really are.,Disappointment
790,1,male,6.0,shame,Participating in a theft several years ago.,Regret
791,1,male,7.0,guilt,"Feeling helpless, not being able to accomplish what I really wanted to do.",Frustration
792,2,female,1.0,joy,I received the message that I'd been accepted at the school where I really wanted to go.,Joy
793,2,female,2.0,fear,I came home and discovered that someone had broken in. Then I realized that they probably were still there.,Fear
794,2,female,3.0,anger,I was accused of having drunk a bottle of liquor and then refilling with water.,Indignation
795,2,female,4.0,sadness,"Got a package from my parents, without even a small note enclosed.",Surprised
796,2,female,5.0,disgust,"Quarreling with my father, when he made false assertions.",Frustration
797,2,female,6.0,shame,Telling friends about how my parents had been treating my brothers and sisters unfairly.,Frustration
798,2,female,7.0,guilt,"I've always defended my sister when needed, at the expense of my brother. This has led to feelings of guilt towards him.",Guilt
799,1,male,1.0,joy,Winning the local soccer championships this year was a great joy.,Joy
800,1,male,2.0,fear,Before important sports events.,Nervousness
801,1,male,3.0,anger,When colliding with my car. I myself was to blame.,Embarrassment
802,1,male,4.0,sadness,"Not succeeding in a cross-country skiing competition, which I intended to win.",Disappointment
803,1,male,5.0,disgust,Can't remember any episode of disgust.,Frustration
804,1,male,6.0,shame,"When I got really drunk on Norvegian Indipendence Day, and was not allowed to participate in football (soccer) games for two weeks. That was very unpleasant.",Embarrassment
805,1,male,7.0,guilt,When I and the boy next door set fire to a house by accident.,Fear
806,1,male,1.0,joy,Getting the top price in the football pools.,Excitement
807,1,male,2.0,fear,Was threatened with a knife ... in the military by soldiers form another unit. The reason was girls.,Fear
808,1,male,3.0,anger,When my mother treats me as a 10-year old boy.,Frustration
809,1,male,4.0,sadness,Getting to know that my uncle in America had a brain tumor.,Sadness
810,1,male,5.0,disgust,"Outside a night club, a grown man was sitting on top of a younger woman, beating her up.",Fear
811,1,male,6.0,shame,"My father was a member of the public Alcohol and Drugs Board, when I was picked up by the police for being drunk in a public place.",Embarrassment
812,1,male,7.0,guilt,"When being illoyal (disloyal) to people close to me. Had such an episode with my sister, who should have received my support and attention.",Guilt
813,1,male,1.0,joy,"Receiving close friends form abroad, whom I hadn't seen for years.",Excitement
814,1,male,2.0,fear,"Motorcycle accident with two people involved, running off the road. Broke an arm, only.",Fear
815,1,male,3.0,anger,"Having agreed to share the taxi expenses, three people in the back of the car just ran off, leaving the person up front with the entire bill.",Betrayed
816,1,male,4.0,sadness,Death of a close friend.,Grief
817,1,male,5.0,disgust,Can't remember any such feelings now.,Confusion
818,1,male,6.0,shame,"At a private party I literally fell into the food. The party was completely ruined for the host, carpets had to be cleaned, etc.",Embarrassment
819,1,male,7.0,guilt,"Accidentally dropped a friends camera flash, so that it was broken.",Guilt
820,1,male,1.0,joy,Selling my used car.,Determined
821,1,male,2.0,fear,"Almost crashing my car, something which could have led to great problems.",Fear
822,1,male,3.0,anger,Realizing that a friend had been talked into signing a certain contract.,Concerned
823,1,male,4.0,sadness,Talking to a pensioned and bitter street order policeman.,Empathy
824,1,male,5.0,disgust,The sadistinc exacution of a student in the USA.,Horror
825,1,male,6.0,shame,Forgetting an important appointment.,Anxiety
826,1,male,7.0,guilt,Not keeping a promise of delivering materials of great importance to the receiver.,Guilt
827,1,male,1.0,joy,Managed to run 30 Km on skis fairly simply.,Accomplished
828,1,male,2.0,fear,Afraid I wouldn't catch the train when I was going to see my sweetheart.,Anxious
829,1,male,3.0,anger,Receiving personal criticisms early in the morning.,Irritated
830,1,male,4.0,sadness,Not getting a job.,Disappointment
831,1,male,5.0,disgust,Seeing a pornographic film when looking for a place to live.,Discomfort
832,1,male,6.0,shame,When unjustified hurting other people.,Guilt
833,1,male,7.0,guilt,The negative feelings towards me displayed by my parents-in-law.,Hurt
834,1,male,1.0,joy,Reunion with my wife after a legal separation.,Confusion
835,1,male,2.0,fear,"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic.",Fear
836,1,male,3.0,anger,"Physical violence. A friend wouldn't listen to me I repeatedly tried to warn him, to no avail. Result: eight people were pissed off.",Frustration
837,1,male,4.0,sadness,My father dying.,Sadness
838,1,male,5.0,disgust,Maltreatment of children.,Anger
839,1,male,6.0,shame,I lost my driver's licence because of speeding.,Frustration
840,1,male,7.0,guilt,"Car accident, hurt three of my closest family.",Devastated
841,1,male,1.0,joy,Relating to my closest family.,Love
842,1,male,2.0,fear,"Thinking of the unknown, what happens at the moment of death, etc.",Fear
843,1,male,3.0,anger,"In traffic I often get relatively angry with other drivers. Several transgressions make me mad, especially not yielding to priority traffic (e.g. coming from the right).",Frustration
844,1,male,4.0,sadness,"Losing close people and animals. So far, I've felt most when losing our dog in a traffic accident.",Grief
845,1,male,5.0,disgust,I feel disgust towards those who are responsible for the death of others.,Disgust
846,1,male,6.0,shame,"Talking about a person's unattractiveness, not realizing that the person was listening.",Embarrassment
847,1,male,7.0,guilt,"I often feel guilty, and it has to do with other people, e.g. if I haven't visited my older relatives for a while.",Guilt
848,1,male,1.0,joy,When the contract about my shop was signed.,Relief
849,1,male,2.0,fear,"Being very close to having an auto accident, almost driving off the road.",Fear
850,1,male,3.0,anger,"Having gone to school without learning anything, as usual.",Frustration
851,1,male,4.0,sadness,"My sweatheart were away on a trip, and then she got problems.",Worry
852,1,male,5.0,disgust,Overeating a traditional type of food - blood pudding.,Discomfort
853,1,male,6.0,shame,Forgot to do some shopping that I had promised to do.,Frustration
854,1,male,7.0,guilt,I crashed my father's car.,Guilt
855,1,male,1.0,joy,Receiving a letter form a girl that means a lot to me emotionally.,Touched
856,1,male,2.0,fear,Being close to drowning.,Fear
857,1,male,3.0,anger,Being slandered by friends.,Hurt
858,1,male,4.0,sadness,Love problems.,Sadness
859,1,male,5.0,disgust,Does not apply.,Neutral
860,1,male,6.0,shame,"Having finally to admit I was wrong, after having denied it for a long time.",Embarrassment
861,1,male,7.0,guilt,Being aggressive against members of my family.,Guilt
862,1,male,1.0,joy,I won the country ski championship.,Joy
863,1,male,2.0,fear,I was scared in the dark when I was a little boy.,Confusion
864,1,male,3.0,anger,Angry when our team (small boys) lost the county championship football final.,Disappointment
865,1,male,4.0,sadness,My grandfather's death.,Sadness
866,1,male,5.0,disgust,"A teacher gave me lower grades than I was entitled to, and was hoping for.",Frustration
867,1,male,6.0,shame,Was caught stealing apples in a neighbor's garden.,Embarrassment
868,1,male,7.0,guilt,Not helping parents enough at home and at the farm - this has happened many times.,Guilt
869,1,male,1.0,joy,"When the bank let me borrow some money this winter, after my grant was spent.",Relieved
870,1,male,2.0,fear,"Once I was stopped by the police in Spain, when I had some grass in my tobacco.",Anxiety
871,1,male,3.0,anger,"My father accused my brother of having bumped his car, and it was wrong.",Indignation
872,1,male,4.0,sadness,When a girlfriend left me.,Sadness
873,1,male,5.0,disgust,"When a friend dropped a frog down my neck, and I didn't know what it was.",Surprise
874,1,male,6.0,shame,Fighting with my father while drunk.,Anger
875,1,male,7.0,guilt,During 7th grade our class mobbed a famale teacher so badly that she had a breackdown and was hospitalized.,Guilt
876,1,male,1.0,joy,I am a school teacher. At a teacher-parent meeting I received a good deal of positive feed-back on my work both from the parents and through them from the pupils.,Gratitude
877,1,male,2.0,fear,"As a child, when I was at home alone, I felt in an indefinate manner afraid of the death of my father and mother.",Fear
878,1,male,3.0,anger,"I had a discussion with my mother concerning my sister's divorce, we disagreed strongly.",Frustration
879,1,male,4.0,sadness,As a ten-year-old I was at the funeral of my grand-father.  It was more the ceremonies held in the church and not really the death of my grand-father which made me sad.,Sadness
880,1,male,5.0,disgust,"I had a discussion with my wife about an over-weight acquaintance of our's, about her eating habits and the scars caused by her pregnancy.",Empathy
881,1,male,6.0,shame,When I confessed to my girl-friend (now my wife) that I had betrayed her with another woman.,Guilt
882,1,male,7.0,guilt,The same as in shame.,Embarrassment
883,1,male,1.0,joy,[ A successful lesson.],Pride
884,1,male,2.0,fear,[ I was thinking about death.],Fear
885,1,male,3.0,anger,A conflict with a pupil.,Frustration
886,1,male,4.0,sadness,When I am at home alone.,Comfort
887,1,male,5.0,disgust,A saturday night a bus full of drunken people.,Annoyed
888,1,male,6.0,shame,A conflict with a pupil and there were probatory teachers present.,Frustration
889,1,male,7.0,guilt,Selling the appartment after my divorce.,Relief
890,1,male,1.0,joy,When in an economic crisis I got an unexpected sum of money.,Relief
891,1,male,2.0,fear,In the dark an unreal figure formed by a shadow.,Fear
892,1,male,3.0,anger,"[ When I was treated unfairly, regardless of my motives or deeds.]",Frustration
893,1,male,4.0,sadness,When I noticed obvious marks of old age (in a negative sense) on a close relative of mine.,Sadness
894,1,male,5.0,disgust,"As a child, when I saw an unesthetic sight.",Disgust
895,1,male,6.0,shame,"On a social occasion, I noticed that I reacted on the basis of my autonomous nerve system (I could not help it).",Surprised
896,1,male,7.0,guilt,When I caused needless anxiety to a person close to me because of my lack of self-insight.,Guilt
897,1,male,1.0,joy,I was coming home from an exam and I supposed that I had passed it so I ran to a restaurant for a beer.,Relief
898,1,male,2.0,fear,I had been drinking with a pal and I later (1 o' clock) had a date  with my fiancee.  We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking.,Anxious
899,1,male,3.0,anger,My fiancee and I were at my parent's place watching TV. There were  only two TV-chairs and we were sitting on them when my drunken brother came in and rudely chased my fiancee off the chair she was sitting on.,Anger
900,1,male,4.0,sadness,I had drunk a couple of beers and my fiancee got angry at me.,Guilty
901,1,male,5.0,disgust,We were at a hamburger bar and a man at a table nearby started coughing and spitting into his plate.,Disgust
902,1,male,6.0,shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately 15 000 FIM. I felt ashamed when my parents came to know about this.,Embarrassment
903,1,male,7.0,guilt,We had had a party the night before and we still had some liquors left the morning after. I went to the kitchen pretending to prepare some tea and was caught by my fiancee pouring some rum down my throat.,Embarrassment
904,1,male,1.0,joy,While dancing in a restaurant last week.,Joy
905,1,male,2.0,fear,I was on the Inter Rail in Naples alone. After an evening in a restaurant I was going back to the hotel when a prostitute approached me to sell herself. I refused but as I carried on walking I felt that I was being followed by someone.,Fear
906,1,male,3.0,anger,When a girl left me.,Sadness
907,1,male,4.0,sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days.",Sadness
908,1,male,5.0,disgust,"On Reperbahn, in a restaurant, a charming old saleswoman came to beg a drink for herself.",Compassion
909,1,male,6.0,shame,"At the funeral of my uncle, I was one of the bearers.  I was not familiar with the etiquette and acted tactlessly because of my ignorance.",Embarrassment
910,1,male,7.0,guilt,"On Reberbahn, I was in a restaurant where drinks were overpriced.  I did not ask for the prices beforehand, and when the bill came I could not pay the bill.",Embarrassment
911,1,male,1.0,joy,My girlfriend gave me some feed-back and I understood that it meant that our relationship was about to turn even closer.,Happiness
912,1,male,2.0,fear,"At the dentist's, waiting for my turn to come.",Anxiety
913,1,male,3.0,anger,"While in the army, I was treated unfairly by my superiors.  I was held responsible for a deed of which I was innocent.",Frustration
914,1,male,4.0,sadness,When I came to know that my grandmother had died.  She was very close to me.,Sadness
915,1,male,5.0,disgust,"In the army, an acquaintance of mine tended to use his position to advance his own interests.",Disappointment
916,1,male,6.0,shame,"When I lied to my girlfriend, telling her that I had passed an exam, when I actually did not even take it.",Guilt
917,1,male,7.0,guilt,When I spoke ill of a fellow worker in the absence of this person.,Guilt
918,1,male,1.0,joy,When I look at people around and know that people who are stupid look stupid.,Indifference
919,1,male,2.0,fear,When I saw Russian roulette on TV. (obviously the movie Deer hunter),Fear
920,1,male,3.0,anger,When stupid people push me during rush time in the city.,Frustration
921,1,male,4.0,sadness,[ Laziness makes one sad.],Sadness
922,1,male,5.0,disgust,When I saw hundreds of snakes twisting over one another in a movie.,Fear
923,1,male,6.0,shame,I saw a skid-row (chronical) alcoholic and I was ashamed of the people with a high standard of living.,Compassion
924,1,male,7.0,guilt,When I shot a bird in the head with a shotgun.,Remorse
925,1,male,1.0,joy,[ Being close to another person.],Comforted
926,1,male,2.0,fear,[ Uncertainty about my own abilities in an exam.],Anxiety
927,1,male,3.0,anger,[ An unfair punishment.],Frustration
928,1,male,4.0,sadness,"Loneliness, being uncertain of myself in the Autumn.",Melancholy
929,1,male,5.0,disgust,A rich man expressing disgust towards an alcoholic.,Disappointment
930,1,male,6.0,shame,A man asked me: May I sleep in your stairway?  and I answered No.,Uncomfortable
931,1,male,7.0,guilt,[ The same as in shame.],Embarrassment
932,1,male,1.0,joy,I went to a doctor with a complaint. The doctor told me that I was completely healthy.,Relief
933,1,male,2.0,fear,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected.",Worry
934,1,male,3.0,anger,"I had an implicit agreement with my sister about meeting her, however she had not understood the situation the same way so she did not turn up.",Disappointment
935,1,male,4.0,sadness,I realized that the girl I loved had to leave me.,Sadness
936,1,male,5.0,disgust,In the bus I was sitting next to a colleage who was drunk and behaved in keeping with his state.,Uncomfortable
937,1,male,6.0,shame,I had promised to help out with domestic chores and I forgot about it.,Guilt
938,1,male,7.0,guilt,I had promised to call a girl but I did not do it.,Guilt
939,1,male,1.0,joy,When I unexpectedly received birthday greetings from a person I like.,Joy
940,1,male,2.0,fear,I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.,Anxiety
941,1,male,3.0,anger,When I learned that my brother had spoilt an LP of mine.,Anger
942,1,male,4.0,sadness,When I came to know that a girl I was fond of already had a boyfriend.,Disappointment
943,1,male,5.0,disgust,A too eager approach by a dirty drunken person in a bus.,Discomfort
944,1,male,6.0,shame,I made a major mistake while learning how to use a computer programme and the teacher criticized me.,Embarrassed
945,1,male,7.0,guilt,"I reproached my mother's cooking and criticised her personality, and she felt hurt and depressed.",Guilt
946,1,male,1.0,joy,I shot the decisive goal in an ice-hockey match.,Excitement
947,1,male,2.0,fear,When I got lost in New York city a late friday night with a friend of mine.,Anxiety
948,1,male,3.0,anger,After having quarelled with a relative of mine about politics.,Frustration
949,1,male,4.0,sadness,The death of my grandmother.,Sadness
950,1,male,5.0,disgust,When I noticed that a nice person was being exploited economically.,Indignation
951,1,male,6.0,shame,I slandered a person behind his back and he got to know about it.,Guilt
952,1,male,7.0,guilt,I had quarelled with a friend of mine and I later realized that it was also my fault.,Regret
